数据结构,操作系统,高等数学,软件工程,数据库原理,计算机网络,C语言程序设计,计算机导论
66,80.0,79,83,75,72,69.0,73.0
61,70.0,60,89,65,75,79.0,75.0
68,70.0,75,86,71,78,78.0,61.0
62,93.0,73,83,67,72,57.0,94.0
77,65.0,77,83,68,70,72.0,86.0
68,72.0,77,98,60,75,55.0,75.0
70,86.0,54,97,61,80,71.0,83.0
81,50.0,62,82,74,85,49.0,64.0
61,63.0,86,83,54,61,54.0,64.0
67,72.0,68,89,71,46,74.0,76.0
83,63.0,69,75,72,74,68.0,79.0
44,63.0,91,77,71,61,67.0,78.0
67,60.0,65,69,68,65,63.0,57.0
69,69.0,68,76,69,68,58.0,62.0
61,83.0,85,95,71,82,62.0,91.0
76,83.0,72,93,83,73,73.0,89.0
78,91.0,81,97,89,90,83.0,87.0
81,88.0,82,99,96,90,82.0,90.0
78,72.0,73,91,87,86,71.0,72.0
70,87.0,92,100,29,0,71.0,89.0
84,83.0,78,97,94,93,75.0,87.0
70,61.0,81,79,81,84,55.0,69.0
66,70.0,68,75,75,76,62.0,72.0
74,73.0,74,0,80,72,42.0,63.0
60,55.0,71,70,61,62,23.0,65.0
51,64.0,69,72,66,73,47.0,70.0
71,69.0,83,75,71,76,61.0,74.0
67,74.0,74,74,72,73,75.0,81.0
60,60.0,66,63,65,72,39.0,71.0
65,65.0,68,40,55,60,38.0,63.0
89,90.0,97,69,72,74,86.0,87.0
81,94.0,87,80,78,70,46.0,80.0
81,83.0,85,81,78,72,61.0,80.0
61,82.0,78,69,73,62,26.0,74.0
73,69.0,60,61,60,57,23.0,68.0
65,70.0,80,71,63,60,38.0,71.0
52,70.0,77,60,74,65,43.0,70.0
61,68.0,77,60,72,62,11.0,63.0
77,74.0,82,83,74,65,18.0,70.0
79,81.0,76,81,80,73,19.0,71.0
77,69.0,84,78,71,72,72.0,87.0
65,83.0,85,78,74,72,26.0,87.0
70,85.0,71,81,60,72,20.0,74.0
77,86.0,92,88,79,80,24.0,81.0
79,86.0,79,83,80,73,63.0,78.0
78,76.0,69,83,79,72,33.0,71.0
79,81.0,87,78,82,73,61.0,80.0
77,52.0,87,69,71,67,33.0,75.0
60,70.0,77,56,72,60,21.0,63.0
74,65.0,66,63,68,76,37.0,66.0
